"","L1EGH020933","L1EGH020934","L1EGH020935","L1EGH020936","L1EGH020937","L1EGH020938","L1EGH020939","L1EGH020941","L1HGH010557","L1HGH010558","L1HGH010559","L1HGH010560","L1HGH010561","L1HGH010562","L1HGH010563","L1HGH010564","L1HGH010565","L1HGH010566","L1EGH020932","L1EHE1100144","L1EHE1100145","L1EHE1100146","L1EHE1100147","L1EHE1100148","L1EHE1100149","L1EHE1100150","L1EHE1100151","L1EHE1100152","L1EHE1100153"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Cytobacillus.s__Cytobacillus_kochii",2.67210988368571e-05,4.51935947384022e-05,3.87366312749775e-05,0,4.25270892495771e-06,1.65928312268149e-05,1.41750055328247e-05,1.68441003446999e-05,7.18759271994609e-06,1.42671302626415e-05,6.67888903359815e-06,4.39418839794861e-06,1.28918801957573e-05,1.803599042681e-06,0,1.67165749298182e-05,4.11350554049643e-06,1.54164620462867e-05,1.66891075559338e-05,1.01007978822263e-05,8.51992994183322e-06,1.15498864862719e-05,1.4335152276435e-05,1.84956775325552e-05,1.08453753150582e-05,2.78262289106171e-06,4.54592871409554e-06,5.35293304519859e-06,3.75731266978357e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Cytobacillus.s__Cytobacillus_oceanisediminis",1.28506047841374e-05,0.000101685588161405,1.67179145502534e-05,1.75535322893237e-05,6.17655343862906e-06,5.42457943953564e-06,3.44467876389074e-05,2.52661505170498e-05,2.15627781598383e-05,7.06339891691431e-05,4.00733342015889e-05,1.24249465045443e-05,3.2815695043746e-05,6.50864002358794e-06,1.86927319678955e-06,6.6866299719273e-05,8.38522283255042e-06,4.0530376024915e-05,2.70204598524643e-05,6.86854255991389e-05,8.64164322671655e-05,3.17621878372477e-05,3.17421228978203e-05,3.28505317369263e-05,1.03031065493052e-05,2.0637786442041e-05,1.14844514882414e-05,3.08580846134978e-05,2.04564800910439e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Cytobacillus.s__Cytobacillus_sp._CY.G",4.46711499639061e-05,4.85166531750494e-05,9.54144391404708e-05,1.83514201206566e-05,1.00242424659717e-05,1.5476006048087e-05,1.9357265620094e-05,1.48301318252249e-05,2.7600356044593e-05,1.68398914575441e-05,2.73834450377524e-05,1.15158040773826e-05,2.75417440545725e-05,3.9992848337709e-06,9.93051385794447e-07,8.13539979917821e-05,1.36062106339497e-05,1.88975986373837e-05,3.87425711119893e-05,6.46451064462484e-05,5.59881110463326e-05,3.32059236480316e-05,2.96942440011867e-05,3.61631903994735e-05,1.92505411842282e-05,5.40292611347814e-05,1.41163049542967e-05,2.3301002667335e-05,1.29418547514767e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Evansella.s__Evansella_cellulosilytica",7.13922488007632e-06,5.05104882370377e-05,4.40374334494481e-05,1.27662053013263e-05,6.0752984642253e-06,1.5954645410399e-06,1.40225861184933e-05,6.22499360564995e-06,2.21377855774339e-05,5.61329715251469e-06,2.64929264999393e-05,1.15158040773826e-05,2.02168121251649e-05,6.74389207263329e-06,6.42562661396407e-07,1.56021366011637e-05,3.48065853426621e-06,8.4541888640927e-06,7.74851422239786e-06,8.56547660412791e-05,3.04283212208329e-05,8.59022807416471e-05,1.48471220005934e-05,8.55770154491358e-06,1.32855847609462e-05,2.5507376501399e-06,3.3496316840704e-06,5.66781145962204e-06,1.08544588238192e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Fictibacillus.s__Fictibacillus_arsenicus",1.04028705395398e-05,1.196301037193e-05,1.18248663892037e-05,9.57465397599475e-06,4.961493745784e-06,3.51002199028777e-06,7.62097071657244e-06,1.94073330058498e-05,1.49501928574879e-05,5.61329715251469e-05,9.35044464703741e-06,1.3788660145287e-05,1.55288556903441e-05,1.803599042681e-06,0,2.45176432304001e-05,4.5881407951691e-06,8.4541888640927e-06,1.54970284447957e-05,2.66661064090775e-05,4.01653840114995e-05,2.95965841210717e-05,1.89428797938605e-05,2.31886106378303e-05,1.03031065493052e-05,2.22609831284936e-05,1.02881544582162e-05,1.25951365769379e-05,1.41942923080713e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Fictibacillus.s__Fictibacillus_phosphorivorans",1.12187819544056e-05,1.06337869972711e-05,8.97058829525794e-06,8.77676614466185e-06,3.03764923211265e-06,7.17959043467953e-06,1.21935531465159e-05,7.87278603067494e-06,1.12126446431159e-05,2.80664857625734e-06,9.12781501258414e-06,0,1.84588284621071e-05,1.09784289554495e-06,7.59392236195753e-07,1.89454515871273e-05,4.74635254672665e-06,4.9730522729957e-06,8.34455377796692e-06,1.05048297975154e-05,1.33884613371665e-05,2.38216408779357e-05,1.58710614489102e-05,1.43548542043712e-05,2.25041537787457e-05,5.3333605412016e-06,2.39259406005028e-06,5.98268987404549e-06,4.59227104084658e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__.Bacillus._caldolyticus",2.42733645922595e-05,0,0.000129258022254399,7.6597231807958e-05,8.1003979523004e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50336613339008e-05,2.02015957644526e-06,2.06912584301664e-05,2.88747162156797e-06,1.0495379345247e-05,3.86476843963839e-06,0.000152106388793691,5.79713102304522e-06,2.5361497036533e-05,0,6.26218778297261e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_genomosp._3",7.95513629494219e-06,7.84241791048744e-05,1.50868984965702e-05,3.27134010846487e-05,1.27581267748731e-05,8.61550852161543e-06,2.75879139939922e-05,2.92940875559998e-05,9.20011868153099e-06,0.00023248405706665,2.20403338108739e-05,5.06089284453392e-05,2.2267793065399e-05,2.6661898891806e-06,2.39500628338661e-06,3.4547588188291e-05,1.29733636277195e-05,1.9643556478333e-05,2.70204598524643e-05,1.41411170351168e-05,4.01653840114995e-05,6.49681114852793e-06,8.57549287965307e-05,5.74194168174847e-05,0.000306110718267516,7.30438508903698e-05,3.06252039686436e-05,2.83390572981102e-05,2.83885846161425e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_kaustophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37095674083982e-06,2.02015957644526e-06,1.09541956394999e-05,0,4.86371237950473e-06,1.380274442728e-06,7.59176272054071e-06,7.8840981913415e-06,0,0,1.66991674212603e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._44B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58943881485084e-06,0,0,0,2.04787889663357e-06,8.28164665636798e-07,0,0,0,0,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._44C",0,0,0,0,0,0,1.26508113895103e-05,0,0,0,0,0,1.49428611359915e-05,0,0,0,0,0,3.37755748155804e-06,2.82822340702337e-06,7.3027970929999e-06,0,1.48471220005934e-05,4.41687821672959e-06,1.35567191438227e-05,7.18844246857607e-06,9.57037624020113e-07,7.74600899481679e-05,5.30198565625014e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._46C.IIa",1.20346933692715e-05,2.45906324311894e-05,1.46791444831494e-05,0,2.31873891384599e-05,1.03705195167593e-05,8.84032603122403e-06,1.17176350223999e-05,1.40876817310943e-05,0.000336797829150881,9.57307428149068e-06,7.57618689301485e-05,1.75798366305782e-05,1.17626024522674e-06,0,2.45176432304001e-05,6.0120465591871e-06,1.64110725008858e-05,6.35775525940337e-06,5.25241489875768e-06,1.21713284883332e-05,5.77494324313594e-06,2.20146981388109e-05,4.19603430589311e-05,0.000140447610330003,0.000102029506005596,3.3974835652714e-05,3.55812608298495e-05,4.21653977386822e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._47C.IIb",0,0,0,0,0,0,3.38371099815816e-05,0,0,0,0,0,0,0,0,0,0,0,1.1722111259525e-05,8.08063830578105e-06,0,0,0,8.28164665636798e-06,0,3.24639337290532e-05,5.74222574412068e-06,6.23459260558424e-05,5.6777169232285e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._C56.T3",2.03977853716466e-05,0,0,0,7.59412308028163e-06,2.29746893909745e-05,0,0,0,0,0,0,0,0,0,0,0,0,6.35775525940337e-06,0,0,5.05307533774395e-06,0,0,0,1.15942620460904e-06,0,0,8.34958371063015e-07
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._E263",0,0,0,0,0,5.26503298543165e-06,0,0,0,0,0,0,0,0,0,0,0,0,9.93399259281776e-07,5.65644681404674e-06,3.16454540696663e-05,0,2.55984862079196e-06,3.03660377400159e-06,2.44020944588808e-06,3.24639337290532e-06,4.78518812010057e-06,2.51902731538757e-06,4.59227104084658e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._GHH01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02015957644526e-06,0,5.77494324313594e-06,0,1.9323842198192e-06,0,1.39131144553085e-06,1.43555643603017e-06,5.35293304519859e-06,2.08739592765754e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._JS12",0,0,0,0,4.55647384816898e-06,0,1.23459725608474e-05,3.49698170199747e-05,1.12126446431159e-05,2.75987109998639e-05,1.60293336806356e-05,1.30310414559855e-05,1.6407847521873e-05,0,0,0,0,0,3.97359703712711e-07,1.37370851198278e-05,1.58227270348331e-05,0,6.01564425886111e-05,8.58530703376814e-05,7.59176272054071e-06,9.27540963687235e-06,2.15333465404525e-06,7.55708194616272e-05,6.93015447982302e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_sp._Y412MC52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57623733341439e-06,0,2.43426569766663e-06,0,1.53590917247518e-06,2.20843910836479e-06,0,0,4.78518812010057e-07,3.14878414423447e-07,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_stearothermophilus",2.22335860550948e-05,8.77287427274866e-05,3.30280750870861e-05,0,6.48031836184032e-06,9.89188015444735e-06,2.51492033646891e-05,4.68705400895996e-05,8.91261497273315e-06,8.70061058639776e-05,2.20403338108739e-05,1.75767535917944e-05,2.69557495002199e-05,1.16057677529038e-05,6.83453012576178e-06,0.000106986079550837,2.23078569696153e-05,3.95357655703158e-05,5.78158368901994e-05,1.73733723574293e-05,6.69423066858324e-05,2.52653766887197e-05,0.000101370005383362,3.36786964025631e-05,2.25041537787457e-05,2.48117207786335e-05,1.50733425783168e-05,2.29861242529116e-05,2.12914384621069e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_subterraneus",2.59051874219912e-05,7.24426739189094e-05,2.81350269260363e-05,1.59577566266579e-05,7.68525255724501e-05,4.40348213327011e-05,2.65209780936721e-05,3.03926158393498e-05,2.67378449181994e-05,0.000962446574274914,4.00733342015889e-05,0.000242286456838615,5.2153515337382e-05,6.03813592549724e-06,5.60781959036864e-06,6.12941080760002e-05,3.92365143862737e-05,4.32655547750626e-05,1.45036291855139e-05,4.56556064276629e-05,6.69423066858324e-05,2.16560371617598e-05,0.000102905914555837,0.000174190634672273,7.61887615882835e-05,0.000353161221923915,0.00012704674458867,8.21832661645196e-05,0.000110214504980318
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_thermocatenulatus",2.95767887888876e-05,2.59198558058483e-05,1.46791444831494e-05,0,9.31545764514546e-06,2.80801759223022e-05,1.14314560748587e-05,1.33654274474249e-05,0,5.14552238980513e-06,0,0,0,0,0,0,0,0,5.56303585197795e-06,5.25241489875768e-06,4.86853139533327e-06,1.01061506754879e-05,6.14363668990071e-06,6.62531732509438e-06,1.62680629725872e-06,2.08696716829628e-06,1.43555643603017e-06,2.51902731538757e-06,5.8447085974411e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_thermodenitrificans",0,0,0,0,6.04492197190417e-05,3.23879301831099e-05,1.98145238630883e-05,0,3.01878894237736e-05,0.000904442503698929,6.3894705088089e-05,0.000254559879605299,3.51596732611564e-05,8.78274316435963e-06,0,0,0,5.81847115940497e-05,1.43049493336576e-05,5.45443085640221e-05,1.33884613371665e-05,0,5.91325031402943e-05,0.000147965420260441,0.000112249634510852,0.000263421633687175,9.80963564620616e-05,4.62871269202467e-05,6.26218778297261e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_thermoleovorans",2.16216524939454e-05,0.000112983986846005,4.97459896373395e-05,0,8.40416287551167e-06,0,2.17959762493972e-05,0,0,0,0,0,6.21154227613763e-05,0,0,0,0,0,4.31135278528291e-05,3.35346489689914e-05,9.00678308136655e-05,9.1677223984783e-05,4.19815173809882e-05,5.32785934893007e-05,5.17866671294027e-05,3.36233599336623e-05,3.82815049608045e-06,6.61244670289238e-06,1.21068963804137e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_zalihae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17227688898346e-06,4.44435106817958e-06,0,0,1.91988646559397e-05,1.02140308761872e-05,3.79588136027035e-06,4.40581957751437e-06,9.57037624020113e-07,9.4463524327034e-07,1.25243755659452e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Gracilibacillus.s__Gracilibacillus_salitolerans",5.48700426497294e-05,3.78828661777783e-05,8.80748668988962e-05,4.22880550606435e-05,2.75413530378214e-05,2.53678862025343e-05,1.46322637758191e-05,2.39845341864748e-05,3.16254079677628e-06,0.000195062076049885,8.23729647477105e-06,4.39418839794861e-05,1.52358584131678e-05,1.48992964395387e-06,1.16829574799347e-06,0,2.05675277024822e-06,1.11893676142403e-05,1.90732657782101e-05,1.17169255433825e-05,2.6776922674333e-05,2.59872445941117e-05,2.71343953803948e-05,7.01179416905822e-05,3.11804540307922e-05,7.53627032995879e-05,4.16311366448749e-05,2.64497868115695e-05,2.33788343897644e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Halobacillus.s__Halobacillus_halophilus",2.03977853716466e-05,3.588903111579e-05,0.000109278075596779,2.87239619279842e-05,2.61237833961688e-05,1.41996344152551e-05,1.41750055328247e-05,1.46470437779999e-05,7.18759271994609e-06,0.000157406207651766,2.24855930797804e-05,4.83360723774347e-05,2.66627522230436e-05,8.62590846499606e-07,6.42562661396407e-07,5.01497247894547e-05,9.01806983878064e-06,1.88975986373837e-05,2.60270605931825e-05,2.86862659855227e-05,5.3553845348666e-05,4.11464706073436e-05,6.04124274506903e-05,9.79994854336877e-05,0.000112520768893728,0.000115015079497217,2.65577940665581e-05,6.83286159298879e-05,5.9282044345474e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Halobacillus.s__Halobacillus_litoralis",3.0188722350037e-05,3.25659726791428e-05,2.40574867918281e-05,1.91493079519895e-05,5.77153354101404e-06,1.72310170432309e-05,1.14314560748587e-05,6.95734579454994e-06,1.81127336542641e-05,1.54365671694154e-05,1.95914078318879e-05,6.51552072799277e-06,3.95546324188009e-05,1.803599042681e-06,9.34636598394773e-07,3.00898348736728e-05,3.1642350311511e-06,1.36758937507382e-05,1.47023090373703e-05,2.50499787479213e-05,4.13825168603328e-05,2.81528483102877e-05,3.37900017944539e-05,3.61631903994735e-05,1.43701222924521e-05,7.18844246857607e-06,4.54592871409554e-06,1.92075832798302e-05,7.93210452509864e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Halobacillus.s__Halobacillus_mangrovi",1.93778961030643e-05,2.65844674931778e-05,2.93582889662987e-05,1.5159868795325e-05,4.65772882257273e-06,7.17959043467953e-06,1.14314560748587e-05,8.97131431402493e-06,1.15001483519137e-05,1.40332428812867e-05,1.11314817226636e-05,2.72742728148534e-06,1.75798366305782e-05,2.97985928790773e-06,7.0097744879608e-07,4.56919714748365e-05,9.80912859656842e-06,9.94610454599141e-06,1.80798665189283e-05,2.86862659855227e-05,3.40797197673329e-05,4.76432817558715e-05,2.81583348287116e-05,3.39547512911087e-05,6.50722518903489e-06,1.15942620460904e-05,8.37407921017599e-06,5.98268987404549e-06,1.12719380093507e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Heyndrickxia.s__Heyndrickxia_oleronia",5.01785520142507e-05,0.000101685588161405,0.000238536097851177,9.57465397599475e-05,1.12393021588168e-05,1.16468911495912e-05,2.86548498943124e-05,3.49698170199747e-05,4.48505785724636e-05,2.47920624236065e-05,3.51754822436169e-05,1.34856126695664e-05,3.07647141035118e-05,2.90144193822595e-06,8.17807023595427e-07,6.90951763765821e-05,1.36062106339497e-05,3.77951972747674e-05,4.41069271121109e-05,6.74733298532718e-05,7.42451037788324e-05,9.3842827700959e-05,3.04621985874243e-05,2.81575986316511e-05,3.71454104540742e-05,4.56813924615963e-05,1.45948237663067e-05,2.01522185231006e-05,1.62816882357288e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Heyndrickxia.s__Heyndrickxia_vini",2.30494974699607e-05,3.65536428031194e-05,8.48128347915296e-05,3.35112889159816e-05,3.44266912972767e-06,3.82911489849575e-06,1.72233938194537e-05,1.37316035418749e-05,1.12126446431159e-05,4.63097015082462e-05,1.40256669705561e-05,3.48504597078683e-06,3.13507086578644e-05,4.54820628154338e-06,1.22671053539314e-06,1.56021366011637e-05,3.95529378893888e-06,1.19353254551897e-05,1.21194709632377e-05,4.52515745123739e-05,7.05937052323324e-05,8.59022807416471e-05,4.53093205880177e-05,5.87996912602126e-05,2.60289007561396e-05,1.94783602374319e-05,8.85259802218605e-06,8.59618071376009e-05,6.38743153863206e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Hydrogenibacillus.s__Hydrogenibacillus_sp._N12",9.38298127095745e-06,1.52860688085772e-05,1.5494652509991e-05,2.47345227713198e-05,1.5289501134967e-05,1.29232627824232e-05,1.3260489046836e-05,2.27029178558998e-05,1.58127039838814e-05,6.47868046352737e-05,1.44709262394627e-05,1.71221823782136e-05,3.92616351416246e-05,1.96043374204456e-06,1.51878447239151e-06,3.56620265169456e-05,1.21823048699317e-05,1.41731989780378e-05,8.54323362982328e-06,2.26257872561869e-05,2.55597898254997e-05,2.23779050671518e-05,2.45745467596028e-05,1.82196226440096e-05,1.08453753150582e-05,1.80870487919011e-05,9.09185742819107e-06,1.82629480365599e-05,1.75341257923233e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lederbergia.s__Lederbergia_lentus",3.83478364986957e-05,3.19013609918133e-05,0.000113763369744408,4.86711577113066e-05,2.22760943688261e-06,5.26503298543165e-06,9.14516485988693e-06,1.22668991640749e-05,7.76260013754177e-06,8.65383311012681e-06,5.56574086133179e-06,4.24266466008831e-06,1.96308175708123e-05,1.64676434331743e-06,8.762218109951e-07,1.44876982725091e-05,2.05675277024822e-06,1.06920623869408e-05,1.66891075559338e-05,3.03023936466789e-05,2.55597898254997e-05,4.69214138504795e-05,1.79189403455437e-05,1.07661406532784e-05,2.30464225444986e-05,1.32174587325431e-05,1.00488950522112e-05,7.24220353173927e-06,6.26218778297261e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lentibacillus.s__Lentibacillus_amyloliquefaciens",1.04028705395398e-05,2.45906324311894e-05,1.50868984965702e-05,3.031973759065e-05,4.65772882257273e-06,3.51002199028777e-06,1.75282326481166e-05,1.48301318252249e-05,4.31255563196765e-06,5.37940977115991e-06,6.67888903359815e-06,0,8.7899183152891e-06,8.62590846499606e-07,0,0,2.68959977647844e-06,6.96227318219399e-06,1.49009888892266e-05,1.81814361880074e-05,2.3125524127833e-05,1.80466976347998e-05,1.33112128281182e-05,4.96898799382079e-06,1.08453753150582e-05,7.65221295041969e-06,5.26370693211062e-06,1.10207445048206e-05,7.93210452509864e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lentibacillus.s__Lentibacillus_sp._CBA3610",2.06017632253631e-05,3.32305843664722e-05,8.03275406439007e-05,3.75007280726461e-05,7.59412308028163e-06,7.02004398057554e-06,3.06363022806212e-05,2.39845341864748e-05,8.62511126393531e-06,4.35030529319888e-05,1.60293336806356e-05,7.12161567943396e-06,2.05098094023412e-05,3.76403278472556e-06,1.10988096059379e-06,5.23786014467638e-05,6.17025831074465e-06,1.01947571596412e-05,3.23848158525859e-05,2.06056276797417e-05,2.6776922674333e-05,1.80466976347998e-05,2.76463651045532e-05,2.81575986316511e-05,4.31103668773562e-05,2.6666802706008e-05,1.19629703002514e-05,4.37680996048591e-05,4.30003561097453e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_agricola",4.99745741605342e-05,9.37102479134516e-05,0.000115394385798091,4.86711577113066e-05,3.74643405293894e-06,3.66956844439176e-06,1.56991996761392e-05,2.08720373836498e-05,3.70879784349218e-05,8.88772049148159e-06,7.25772608317666e-05,3.93961718436772e-06,8.14532430550123e-05,5.09712772931586e-06,1.51878447239151e-06,9.24983812783276e-05,7.27774057164754e-06,1.91462512510335e-05,2.28481829634809e-05,0.000105452329890443,0.000492938803777494,0.000201401145604366,7.80753829341548e-05,4.63772212756607e-05,0.000296892149249717,1.41449996962303e-05,2.48829782245229e-05,2.10968537663709e-05,1.87865633489178e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_capsici",0,9.10518011641338e-05,0,0,0,0,6.5540348162523e-06,0,0,1.8009328364318e-05,3.29491858990842e-05,0,1.9337820293636e-05,4.78345833058873e-06,0,0,0,9.44879931869184e-06,3.17887762970168e-06,2.94943298161008e-05,9.85877607554987e-05,4.33120743235195e-05,6.88599278993038e-05,1.02140308761872e-05,0.00058565026701314,1.85508192737447e-06,8.85259802218605e-06,2.83390572981102e-06,7.51462533956713e-06
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_fusiformis",2.57012095682748e-05,0.000156848358209749,0.000161470589314643,4.94690455426395e-05,1.68083257510233e-05,1.61141918645029e-05,4.37443719131258e-05,3.86315779644747e-05,3.16254079677628e-05,4.60758141268914e-05,5.74384456889441e-05,2.3486179368346e-05,6.79753683049023e-05,1.20762718509945e-05,6.89294491316145e-06,0.000309813855365965,2.54720920007664e-05,4.92332175026575e-05,3.45702942230058e-05,6.78773617685608e-05,0.000225169577034164,4.83651496612635e-05,0.000117497051694351,8.36446312293166e-05,5.44980109581672e-05,3.61740975838022e-05,3.4214095058719e-05,0.000199003157915618,0.0001219039221752
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_parviboronicapiens",5.50740205034459e-05,0.000140233066026513,0.00012518048212019,2.79260740966513e-05,1.49857362117557e-05,1.4837820231671e-05,3.8714531240188e-05,2.94771756032248e-05,3.39254376381455e-05,0.000172375000058472,6.65662607015282e-05,3.51535071835889e-05,6.12364309298474e-05,8.4690737656325e-06,3.73854639357909e-06,0.000483666234636075,1.88271984353491e-05,0.000104931402960209,2.24508232597681e-05,0.000101007978822263,0.000471030412498494,4.90870175666555e-05,0.000195316449766427,0.000269429571220505,4.74485170033794e-05,7.62902442632751e-05,4.61770653589705e-05,0.00032338013161288,0.000199972529869592
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_sp._2017",3.77359029375463e-05,5.64919934230027e-05,0.00010520053546257,3.8298615903979e-05,6.9865932338591e-06,6.70095107236756e-06,1.23459725608474e-05,1.19007230696249e-05,2.21377855774339e-05,2.99375848134117e-05,2.15950745419674e-05,1.03036141745002e-05,2.2267793065399e-05,3.9992848337709e-06,2.39500628338661e-06,0.000209514405787055,1.75615044228886e-05,1.88975986373837e-05,2.22521434079118e-05,2.82822340702337e-05,0.00024951223401083,9.3120959795567e-05,4.83811389329681e-05,3.00899828514703e-05,2.22330193958692e-05,2.29566388512591e-05,2.65577940665581e-05,2.55051515682992e-05,2.33788343897644e-05
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_sp._CD3.6",2.95767887888876e-05,9.10518011641338e-05,5.95320859594391e-05,3.43091767473145e-05,6.78408328505159e-06,5.74367234774362e-06,2.62161392650092e-05,2.32521819975748e-05,1.17876520607116e-05,4.37369403133436e-05,2.40440005209533e-05,1.60615162131915e-05,5.24465126145583e-05,1.77223210280828e-05,0,0.000184996762556655,1.45554811432951e-05,2.21300826148309e-05,4.68884450380998e-05,3.0706425561968e-05,0.00021664964709233,7.21867905391992e-05,0.00016869402411019,0.000223604459721935,4.03990230485916e-05,3.31595894518187e-05,1.55518613903268e-05,0.000160587991355958,0.000102699879640751
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_sp._GJ.1",9.26059455872757e-05,0,0,0,0,0,0,0,7.61884828314285e-05,5.19229986607609e-05,0,0,7.11983383538417e-05,0,0,0,0,3.38167554563708e-05,1.98679851856355e-06,2.22217553408979e-05,0,4.61995459450875e-05,3.32780320702955e-06,1.43548542043712e-05,0,1.85508192737447e-06,0,0,0
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus.s__Lysinibacillus_sp._SGAir0095",2.7537010251723e-05,5.91504401723205e-05,8.52205888049505e-05,3.67028402413132e-05,4.0501989761502e-06,6.38185816415958e-06,1.64612967477965e-05,2.67308548948498e-05,1.69627188190728e-05,2.08159769405753e-05,3.18360377268179e-05,5.30333082511039e-06,5.33255044460872e-05,1.72518169299921e-06,0,0.000234032049017455,1.77197161744462e-05,5.0973785798206e-05,2.02653448893482e-05,2.94943298161008e-05,0.000197175521510997,4.04246027019516e-05,5.45247756228688e-05,0.000104624802758782,1.27433159951933e-05,8.81163915502873e-06,1.29200079242715e-05,9.22593754260699e-05,6.30393570152576e-05
