"Diet1","Sample_id","Original_Part","Modified_Part","lineage _nt","species_annotation","annotation_pre","host_Taxids","host_Lineage","host_annotation","Lytic","Temperate","BioProject","Diet","Nutrition1","Nutrition","Antibiotic","Diease","Diease2","Country","Continent","Host","Age","Age2","Sex","Diet_Type","gene"
"High_fat_diet","SRR10359675","NODE_1_length_64633_cov_10.031501_cutoff_5_type_circular","part_1059_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.075","0.925","PRJNA576024","High_fat_diet","No_Polyphenol","Polyphenol","","","","China","Asia","mouse","","","","Fat","part_1059_N1"
"High_fat_diet","SRR10359676","NODE_1_length_64633_cov_15.667240_cutoff_5_type_circular","part_1063_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.075","0.925","PRJNA576024","High_fat_diet","No_Polyphenol","Polyphenol","","","","China","Asia","mouse","","","","Fat","part_1063_N1"
"","ERR3957912","NODE_1_length_64583_cov_7.482110_cutoff_0_type_circular","part_1055_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.075","0.925","PRJEB36943","HFHS_diet","PAC+HFHS","Polyphenol","","","","Canada","North_America","mouse","","","","Control","part_1055_N1"
"","ERR3957845","NODE_1_length_65895_cov_13.159880_cutoff_5_type_circular","part_1056_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.0625","0.9375","PRJEB36943","HFHS_diet","ANT+HFHS","Polyphenol","","","","Canada","North_America","mouse","","","","Control","part_1056_N1"
"","ERR3957901","NODE_1_length_65709_cov_11.196627_cutoff_5_type_circular","part_1035_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.0625","0.9375","PRJEB36943","HFHS_diet","PAC+HFHS","Polyphenol","","","","Canada","North_America","mouse","","","","Control","part_1035_N1"
"Chow_diet","SRR10078226","NODE_1_length_65759_cov_4.021849_cutoff_5_type_circular","part_029_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.0625","0.9375","PRJNA549182","Chow_diet","Control","Control","Y","","","United_States","North_America","mouse","","","female","Control","part_029_N1"
"","ERR3957847","NODE_1_length_65895_cov_12.985095_cutoff_5_type_circular","part_1051_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.0625","0.9375","PRJEB36943","HFHS_diet","ANT+HFHS","Polyphenol","","","","Canada","North_America","mouse","","","","Control","part_1051_N1"
"High_protein_diet","SRR4254087","NODE_1_length_60220_cov_6.634538_cutoff_0_type_circular","part_499_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Acholeplasmataceae",2146,"k__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__unclassified_Acholeplasmataceae_genus;s__unclassified_Acholeplasmataceae_species","Mycoplasmatota","0.7258529818632882","0.27414701813671183","PRJNA340931","High_protein_diet","beef","Protein","","","","China","Asia","rat","","","","Protein","part_499_N1"
"Mediterranean_diet","ERR3857878","NODE_10_length_58932_cov_10.122881","part_1076_N10","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.15","0.85","PRJEB33500","High_fiber_diet","","","","Obesity","Obesity","Italy","Europe","human","Adult","Middle_age","female","Fiber","part_1076_N10"
"Chow_diet","SRR16914146","NODE_1_length_75492_cov_8.459656_cutoff_0_type_circular","part_589_N1","k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acutalibacter;s__Acutalibacter_muris","Siphoviridae","Acutalibacter",1918385,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acutalibacter;s__unclassified_Acutalibacter_species","Bacillota","0.0","1.0","PRJNA773205","Chow_diet","Control","Control","","","","China","Asia","mouse","","","","Control","part_589_N1"
"High_fat_diet","ERR675652","NODE_1_length_82570_cov_20.602148_cutoff_0_type_circular","part_478_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Oscillospiraceae",216572,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__unclassified_Oscillospiraceae_genus;s__unclassified_Oscillospiraceae_species","Bacillota","0.075","0.925","PRJEB7759","High_fat_diet","","","","","","United_States","North_America","mouse","","","male","Fat","part_478_N1"
"Omnivores","ERR6170271","NODE_2_length_56713_cov_11.069487_cutoff_5_type_circular","part_522_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridium",1485,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__unclassified_Clostridium_species","Bacillota","0.7857617134964828","0.2142382865035175","PRJEB45944","Omnivores","","","N","","","Netherlands","Europe","human","Adult","","","Control","part_522_N2"
"Whole_grain_diet","SRR5866600","NODE_1_length_59998_cov_14.265767_cutoff_0_type_circular","part_087_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.885022026431718","0.11497797356828195","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_087_N1"
"Baseline","SRR5866548","NODE_2_length_59166_cov_65.438762_cutoff_0_type_circular","part_093_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.910022026431718","0.08997797356828194","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_093_N2"
"Low_gluten_diet","SRR7989991","NODE_2_length_59636_cov_20.587317_cutoff_0_type_circular","part_360_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Intestinimonas",1392389,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__Intestinimonas;s__unclassified_Intestinimonas_species","Bacillota","0.7875","0.2125","PRJNA491335.2","Low_gluten_diet","","","","","","Denmark","Europe","human","Adult","Middle_age","male","Control","part_360_N2"
"High_gluten_diet","SRR7989832","NODE_1_length_59738_cov_29.823838_cutoff_0_type_circular","part_287_N1","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__Bacteriophage_sp.","Siphoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.8401982378854627","0.15980176211453748","PRJNA491335.1","High_gluten_diet","","","","","","Denmark","Europe","human","Adult","Elderly_people","male","Gluten","part_287_N1"
"Baseline","SRR7989831","NODE_1_length_59737_cov_15.669058_cutoff_0_type_circular","part_307_N1","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__Bacteriophage_sp.","Siphoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.8401982378854627","0.15980176211453748","PRJNA491335.1","Baseline","","","","","","Denmark","Europe","human","Adult","Elderly_people","male","Control","part_307_N1"
"Omnivores","ERR6170271","NODE_1_length_65051_cov_46.436911_cutoff_0_type_circular","part_523_N1","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__Bacteriophage_sp.","Siphoviridae","Ruminococcus",1263,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__unclassified_Ruminococcus_species","Bacillota","0.45","0.55","PRJEB45944","Omnivores","","","N","","","Netherlands","Europe","human","Adult","","","Control","part_523_N1"
"Baseline","ERR8958880","NODE_8_length_60400_cov_41.746541","part_895_N8","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridium",1485,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__unclassified_Clostridium_species","Bacillota","0.9375","0.0625","PRJEB35524","Baseline","Baseline","Baseline","N","Obesity","Obesity","France","Europe","human","Adult","","","Control","part_895_N8"
"Baseline","ERR8960011","NODE_65_length_39290_cov_46.707098","part_878_N65","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Chaetfec",NA,NA,NA,"0.997522026431718","0.0024779735682819385","PRJEB35524","Baseline","Baseline","Baseline","N","Obesity","Obesity","France","Europe","human","Adult","","","Control","part_878_N65"
"Baseline","SRR7989986","NODE_1_length_58652_cov_10.610448_cutoff_5_type_circular","part_322_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__Oengusvirus;s__Oengusvirus_oengus","Siphoviridae","Faecalibacterium",216851,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__unclassified_Faecalibacterium_species","Bacillota","0.05","0.95","PRJNA491335.2","Baseline","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Control","part_322_N1"
"","SRR13573577","NODE_3_length_58286_cov_20.035025_cutoff_0_type_circular","part_1118_N3","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Agathobaculum",2048137,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Agathobaculum;s__unclassified_Agathobaculum_species","Bacillota","0.7725220264317181","0.22747797356828192","PRJNA694540","","Amylin","Protein","","","","China","Asia","mouse","","","","Control","part_1118_N3"
"Omnivores","ERR6170148","NODE_1_length_64086_cov_3.169233_cutoff_0_type_circular","part_510_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Flavonifractor",946234,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__unclassified_Flavonifractor_species","Bacillota","0.4125","0.5875","PRJEB45944","Omnivores","","","N","","","Netherlands","Europe","human","Adult","","","Control","part_510_N1"
"Baseline","SRR1535348","NODE_4_length_52292_cov_58.727741_cutoff_0_type_circular","part_385_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Blautia",572511,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__unclassified_Blautia_species","Bacillota","0.9601321585903084","0.03986784140969163","PRJNA256106","Baseline","","","","Obesity","Obesity","China","Asia","human","children","Teenagers","male","Control","part_385_N4"
"Chow_diet","SRR10359668","NODE_1_length_42603_cov_9.353894_cutoff_0_type_circular","part_1062_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Eubacterium",1730,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__unclassified_Eubacterium_species","Bacillota","0.975","0.025","PRJNA576024","Chow_diet","RSV","Polyphenol","","","","China","Asia","mouse","","","","Control","part_1062_N1"
"Omnivores","ERR6170279","NODE_1_length_53277_cov_9.343387_cutoff_5_type_circular","part_500_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Bifidobacterium",1678,"k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__unclassified_Bifidobacterium_species","Actinomycetota","0.9375","0.0625","PRJEB45944","Omnivores","","","N","","","Netherlands","Europe","human","Adult","","","Control","part_500_N1"
"High_fat_diet","SRR14826641","NODE_2_length_62255_cov_46.959825_cutoff_0_type_circular","part_1310_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Coriobacteriia",84998,"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__unclassified_Coriobacteriia_order;f__unclassified_Coriobacteriia_family;g__unclassified_Coriobacteriia_genus;s__unclassified_Coriobacteriia_species","Actinomycetota","0.9491368286445013","0.05086317135549871","PRJNA731974","High_fat_diet","probiotics","Probiotics","","","","China","Asia","mouse","","","","Fat","part_1310_N2"
"High_fat_diet","SRR14826648","NODE_1_length_62255_cov_42.956590_cutoff_0_type_circular","part_1311_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Bifidobacterium",1678,"k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__unclassified_Bifidobacterium_species","Actinomycetota","0.9491368286445013","0.05086317135549871","PRJNA731974","High_fat_diet","Control","Control","","","","China","Asia","mouse","","","","Fat","part_1311_N1"
"High_fat_diet","SRR14826649","NODE_2_length_62255_cov_8.671018_cutoff_5_type_circular","part_1316_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Coriobacteriia",84998,"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__unclassified_Coriobacteriia_order;f__unclassified_Coriobacteriia_family;g__unclassified_Coriobacteriia_genus;s__unclassified_Coriobacteriia_species","Actinomycetota","0.9491368286445013","0.05086317135549871","PRJNA731974","High_fat_diet","Control","Control","","","","China","Asia","mouse","","","","Fat","part_1316_N2"
"High_fat_diet","SRR14826646","NODE_1_length_62256_cov_50.539539_cutoff_0_type_circular","part_1319_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Coriobacteriia",84998,"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__unclassified_Coriobacteriia_order;f__unclassified_Coriobacteriia_family;g__unclassified_Coriobacteriia_genus;s__unclassified_Coriobacteriia_species","Actinomycetota","0.9491368286445013","0.05086317135549871","PRJNA731974","High_fat_diet","probiotics","Probiotics","","","","China","Asia","mouse","","","","Fat","part_1319_N1"
"High_fat_diet","SRR14826647","NODE_1_length_62228_cov_7.558977_cutoff_0_type_circular","part_1313_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Coriobacteriia",84998,"k__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__unclassified_Coriobacteriia_order;f__unclassified_Coriobacteriia_family;g__unclassified_Coriobacteriia_genus;s__unclassified_Coriobacteriia_species","Actinomycetota","0.9491368286445013","0.05086317135549871","PRJNA731974","High_fat_diet","probiotics","Probiotics","","","","China","Asia","mouse","","","","Fat","part_1313_N1"
"Baseline","ERR8959944","NODE_15_length_57090_cov_136.538634","part_844_N15","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae",NA,NA,NA,NA,"0.9736565181674894","0.026343481832510444","PRJEB35524","Baseline","Baseline","Baseline","N","Obesity","Obesity","France","Europe","human","Adult","","","Control","part_844_N15"
"Baseline","ERR5883831","NODE_2_length_56592_cov_21.228425_cutoff_5_type_circular","part_924_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae",NA,NA,NA,NA,"0.9992103416003744","0.0007896583996256435","PRJEB44237","Baseline","","","","Obesity","Obesity","Netherlands","Europe","human","Adult","Middle_age","male","Control","part_924_N2"
"Low_calorie_diet","SRR17241856","NODE_2_length_58795_cov_617.713421_cutoff_0_type_circular","part_1001_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Ruminococcus",1263,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__unclassified_Ruminococcus_species","Bacillota","0.925","0.075","PRJNA788383","Low_calorie_diet","Butyrate","Others","","Obesity","Obesity","Italy","Europe","human","children","","","Fat","part_1001_N2"
"Whole_grain_diet","SRR5866289","NODE_2_length_55347_cov_3.984422_cutoff_5_type_circular","part_127_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Holdemanella",1573535,"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__unclassified_Holdemanella_species","Bacillota","0.05","0.95","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_127_N2"
"Baseline","SRR7989960","NODE_1_length_62285_cov_3.324830_cutoff_5_type_circular","part_279_N1","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__Bacteriophage_sp.","Siphoviridae","Holdemanella",1573535,"k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__unclassified_Holdemanella_species","Bacillota","0.4875","0.5125","PRJNA491335.2","Baseline","","","","","","Denmark","Europe","human","Adult","Elderly_people","male","Control","part_279_N1"
"Baseline","ERR8959617","NODE_13_length_62989_cov_12.375203","part_836_N13","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerostipes",207244,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__unclassified_Anaerostipes_species","Bacillota","0.0125","0.9875","PRJEB35524","Baseline","Baseline","Baseline","N","Obesity","Obesity","France","Europe","human","Adult","","","Control","part_836_N13"
"Whole_grain_diet","SRR5866307","NODE_1_length_63114_cov_5.332916_cutoff_0_type_circular","part_085_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerostipes",207244,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__unclassified_Anaerostipes_species","Bacillota","0.0125","0.9875","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_085_N1"
"Baseline","SRR1535348","NODE_2_length_67025_cov_4.237737_cutoff_0_type_circular","part_384_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Blautia",572511,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__unclassified_Blautia_species","Bacillota","0.65","0.35","PRJNA256106","Baseline","","","","Obesity","Obesity","China","Asia","human","children","Teenagers","male","Control","part_384_N2"
"Low_urbanization","SRR1930134","NODE_1_length_58873_cov_5.958501_cutoff_0_type_circular","part_568_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridia",186801,"k__Bacteria;p__Bacillota;c__Clostridia;o__unclassified_Clostridia_order;f__unclassified_Clostridia_family;g__unclassified_Clostridia_genus;s__unclassified_Clostridia_species","Bacillota","0.9431987968412617","0.05680120315873836","PRJNA278393","Low_urbanization","","","","","","Tanzania","Africa","human","Adult","","","Control","part_568_N1"
"Vegatarian","SRR8146978","NODE_4_length_39006_cov_16.016487_cutoff_0_type_circular","part_688_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Faecalibacterium",216851,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__unclassified_Faecalibacterium_species","Bacillota","0.1125","0.8875","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_688_N4"
"High_urbanization","SRR1761677","NODE_1_length_63073_cov_7.493730_cutoff_5_type_circular","part_414_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.1375","0.8625","PRJNA268964","High_urbanization","","","","Healthy","Healthy","United_States","North_America","human","","","female","Special population diet","part_414_N1"
"Low_calorie_diet","ERR8960720","NODE_2_length_60453_cov_10.844829","part_863_N2","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__uncultured_human_fecal_virus","Siphoviridae","Blautia",572511,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__unclassified_Blautia_species","Bacillota","0.0125","0.9875","PRJEB35524","Low_calorie_diet","Milk_protein_component","Protein","N","Obesity","Obesity","France","Europe","human","Adult","","","Fat","part_863_N2"
"Omnivores","ERR6170281","NODE_1_length_63656_cov_4.286231_cutoff_0_type_circular","part_532_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Blautia",572511,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__unclassified_Blautia_species","Bacillota","0.1375","0.8625","PRJEB45944","Omnivores","","","N","","","Netherlands","Europe","human","Adult","","","Control","part_532_N1"
