"Contig","HGT_contig_length"
"NODE_1691_length_7125_cov_20.791231||full_1 1444-6953/6953_7-(4020..5510)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_6683_length_3023_cov_15.199461||full_3-(543..2348)-K06400-spoIVCA; site-specific DNA recombinase",1806
"NODE_4690_length_3822_cov_4.537829||full_4-(2531..3508)-K03733-xerC; integrase/recombinase XerC",978
"NODE_739_length_10990_cov_37.559579||full_17-(6478..7917)-K06400-spoIVCA; site-specific DNA recombinase",1440
"NODE_2241_length_6081_cov_6.621640||full_10-(3133..4572)-K06400-spoIVCA; site-specific DNA recombinase",1440
"NODE_1730_length_7021_cov_7.970141||full_3-(1469..3010)-K06400-spoIVCA; site-specific DNA recombinase",1542
"NODE_1730_length_7021_cov_7.970141||full_4-(3003..4646)-K06400-spoIVCA; site-specific DNA recombinase",1644
"NODE_1730_length_7021_cov_7.970141||full_5-(4648..6261)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_875_length_10092_cov_5.392249||full_1-(1..825)-K06400-spoIVCA; site-specific DNA recombinase",825
"NODE_3661_length_4486_cov_4.426992||full_7-(2092..3087)-K03733-xerC; integrase/recombinase XerC",996
"NODE_4315_length_4067_cov_10.590479||full_3-(1243..2136)-PF12784.7-PD-(D/E)XK nuclease family transposase",894
"NODE_52_length_36212_cov_9.303703||full_1 3348-36209/36209_46-(29806..31779)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1974
"NODE_119_length_25502_cov_8.524934||full_19-(13618..15018)-K06400-spoIVCA; site-specific DNA recombinase",1401
"NODE_3784_length_4388_cov_4.605354||full_7-(3332..4321)-K06400-spoIVCA; site-specific DNA recombinase",990
"NODE_1271_length_8346_cov_5.622844||full_17-(6598..8055)-K06400-spoIVCA; site-specific DNA recombinase",1458
"NODE_5728_length_3349_cov_8.141469||full_1-(1..588)-K06400-spoIVCA; site-specific DNA recombinase",588
"NODE_5523_length_3429_cov_74.764967||full_4-(1365..2405)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_2455_length_5754_cov_7.419372||full_2-(407..2101)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_2455_length_5754_cov_7.419372||full_3-(2074..3768)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_2455_length_5754_cov_7.419372||full_4-(3773..5491)-K06400-spoIVCA; site-specific DNA recombinase",1719
"NODE_2807_length_5304_cov_5.572681||full_10-(4357..5301)-K06400-spoIVCA; site-specific DNA recombinase",945
"NODE_6106_length_3214_cov_77.599557||full_2-(514..1401)-K14059-int; integrase",888
"NODE_4613_length_3869_cov_3.587048||full_1-(1..1683)-K06400-spoIVCA; site-specific DNA recombinase",1683
"NODE_2752_length_5359_cov_14.228507||full_1-(1..1215)-K07493-K07493; putative transposase",1215
"NODE_9701_length_2319_cov_6.273852||full_1-(1..639)-PF00589.22-Phage integrase family",639
"NODE_4573_length_3897_cov_3.866736||full_1-(1..564)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",564
"NODE_6787_length_2992_cov_4.636704||full_4-(2100..2939)-K07486-K07486; transposase",840
"NODE_12669_length_1910_cov_3.679245||full_5-(1713..1907)-PF02920.15-DNA binding domain of tn916 integrase",195
"NODE_5335_length_3510_cov_4.393343||full_4-(1410..2564)-K07496-K07496; putative transposase",1155
"NODE_3820_length_4367_cov_6.160482||full_3-(1545..2528)-K03733-xerC; integrase/recombinase XerC",984
"NODE_102_length_27579_cov_11.252543||full_49-(25693..26715)-K04763-xerD; integrase/recombinase XerD",1023
"NODE_9790_length_2306_cov_29.371390||full_1-(1..204)-K06400-spoIVCA; site-specific DNA recombinase",204
"NODE_1067_length_9150_cov_7.111600||full_12-(8926..9147)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",222
"NODE_6722_length_3013_cov_15.681204||full_3-(706..1662)-K04763-xerD; integrase/recombinase XerD",957
"NODE_3816_length_4370_cov_5.587254||full_1-(1..1488)-K06400-spoIVCA; site-specific DNA recombinase",1488
"NODE_6700_length_3020_cov_7.139966||full_2-(153..1664)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_14058_length_1768_cov_5.143608||full_3-(530..1219)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",690
"NODE_681_length_11366_cov_15.567324||full_6-(2760..4439)-K06400-spoIVCA; site-specific DNA recombinase",1680
"NODE_681_length_11366_cov_15.567324||full_7-(4441..6126)-K06400-spoIVCA; site-specific DNA recombinase",1686
"NODE_681_length_11366_cov_15.567324||full_8-(6113..7678)-K06400-spoIVCA; site-specific DNA recombinase",1566
"NODE_42_length_37880_cov_81.826226||full_3-(808..2394)-K06400-spoIVCA; site-specific DNA recombinase",1587
"NODE_42_length_37880_cov_81.826226||full_5-(3067..4620)-K06400-spoIVCA; site-specific DNA recombinase",1554
"NODE_2463_length_5744_cov_8.077166||full_1-(1..435)-K06400-spoIVCA; site-specific DNA recombinase",435
"NODE_1123_length_8900_cov_26.629621||full_1 1-5617/8621_3-(2686..3819)-K04763-xerD; integrase/recombinase XerD",1134
"NODE_12170_length_1968_cov_3.883952||full_4-(1470..1925)-K06400-spoIVCA; site-specific DNA recombinase",456
"NODE_2943_length_5161_cov_5.085390||full_4-(1872..2516)-K04763-xerD; integrase/recombinase XerD",645
"NODE_49_length_36748_cov_9.288066||full_39-(31240..31653)-PF12762.7-ISXO2-like transposase domain",414
"NODE_49_length_36748_cov_9.288066||full_40-(31640..32170)-K07488-K07488; transposase",531
"NODE_3011_length_5074_cov_7.911337||full_3-(1316..2308)-K04763-xerD; integrase/recombinase XerD",993
"NODE_4471_length_3971_cov_6.452503||full_1-(1..1200)-K06400-spoIVCA; site-specific DNA recombinase",1200
"NODE_4471_length_3971_cov_6.452503||full_2-(1200..2018)-K06400-spoIVCA; site-specific DNA recombinase",819
"NODE_4471_length_3971_cov_6.452503||full_3-(2015..3577)-K06400-spoIVCA; site-specific DNA recombinase",1563
"NODE_3158_length_4924_cov_5.371329||full_3-(869..1903)-K03733-xerC; integrase/recombinase XerC",1035
"NODE_3158_length_4924_cov_5.371329||full_4-(1893..2861)-K04763-xerD; integrase/recombinase XerD",969
"NODE_3158_length_4924_cov_5.371329||full_5-(2858..4105)-K04763-xerD; integrase/recombinase XerD",1248
"NODE_1982_length_6469_cov_8.024790||full_1-(1..1752)-K06400-spoIVCA; site-specific DNA recombinase",1752
"NODE_203_length_20064_cov_9.603728||full_1 1-14850/19776_2-(423..1424)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1002
"NODE_857_length_10208_cov_7.671033||full_2-(811..1008)-K07482-K07482; transposase, IS30 family",198
"NODE_980_length_9579_cov_44.296829||full_20-(9074..9577)-K06400-spoIVCA; site-specific DNA recombinase",504
"NODE_17_length_51016_cov_46.867389||full_8-(5866..6687)-K14059-int; integrase",822
"NODE_1606_length_7293_cov_7.564244||full_1-(1..1110)-K06400-spoIVCA; site-specific DNA recombinase",1110
"NODE_1606_length_7293_cov_7.564244||full_2-(1112..2806)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_1606_length_7293_cov_7.564244||full_3-(2803..4392)-K06400-spoIVCA; site-specific DNA recombinase",1590
"NODE_509_length_13125_cov_65.658301||full_26-(11760..12983)-K14059-int; integrase",1224
"NODE_1676_length_7154_cov_4.870545||full_4-(1566..3374)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_509_length_7062_cov_7.437991||full_1-(1..1491)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_2143_length_3219_cov_2.761062||full_1-(1..822)-K03733-xerC; integrase/recombinase XerC",822
"NODE_2154_length_3201_cov_5.567069||full_3-(1811..2698)-K14059-int; integrase",888
"NODE_1472_length_4040_cov_11.741531||full_5-(2211..3674)-K07487-K07487; transposase",1464
"NODE_1675_length_3764_cov_6.498248||full_4-(1935..3575)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_300_length_8939_cov_15.048402||full_1 1-5617/8669_3-(2686..3819)-K04763-xerD; integrase/recombinase XerD",1134
"NODE_1832_length_3569_cov_6.535003||full_5-(2901..3569)-K07496-K07496; putative transposase",669
"NODE_1031_length_5028_cov_6.225417||full_3-(551..2083)-K06400-spoIVCA; site-specific DNA recombinase",1533
"NODE_1031_length_5028_cov_6.225417||full_4-(2080..3717)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_1031_length_5028_cov_6.225417||full_5-(3719..5026)-K06400-spoIVCA; site-specific DNA recombinase",1308
"NODE_38_length_18726_cov_9.271223||full_1 1-13307/18625_1-(1..429)-K07493-K07493; putative transposase",429
"NODE_38_length_18726_cov_9.271223||full_1 1-13307/18625_3-(526..810)-K07493-K07493; putative transposase",285
"NODE_38_length_18726_cov_9.271223||full_1 1-13307/18625_4-(880..1215)-K07493-K07493; putative transposase",336
"NODE_4522_length_1837_cov_3.669473||full_3-(398..1453)-K07482-K07482; transposase, IS30 family",1056
"NODE_1739_length_3672_cov_6.108930||full_3-(1249..2130)-K04763-xerD; integrase/recombinase XerD",882
"NODE_183_length_10911_cov_6.987012||full_12-(10258..10908)-K14059-int; integrase",651
"NODE_1371_length_4239_cov_5.022945||full_3-(916..1908)-K03733-xerC; integrase/recombinase XerC",993
"NODE_1371_length_4239_cov_5.022945||full_5-(2630..3622)-K03733-xerC; integrase/recombinase XerC",993
"NODE_67_length_16001_cov_7.903863||full_21-(12529..14490)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1962
"NODE_2601_length_2782_cov_4.877154||full_3-(1007..2047)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_689_length_6176_cov_10.907368||full_1-(1..1581)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_689_length_6176_cov_10.907368||full_2-(1566..3077)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_911_length_7449_cov_11.730322||full_3-(931..2943)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2013
"NODE_897_length_7506_cov_5.712119||full_3-(2812..4461)-K06400-spoIVCA; site-specific DNA recombinase",1650
"NODE_897_length_7506_cov_5.712119||full_4-(4458..5324)-K06400-spoIVCA; site-specific DNA recombinase",867
"NODE_897_length_7506_cov_5.712119||full_5-(5327..6877)-K06400-spoIVCA; site-specific DNA recombinase",1551
"NODE_3145_length_3749_cov_6.049269||full_9-(3123..3746)-K06400-spoIVCA; site-specific DNA recombinase",624
"NODE_15_length_39174_cov_6.572842||full_2-(1608..2432)-K04763-xerD; integrase/recombinase XerD",825
"NODE_963_length_7271_cov_8.639135||full_7-(3089..5053)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1965
"NODE_6122_length_2499_cov_3.456628||full_4-(930..2453)-K06400-spoIVCA; site-specific DNA recombinase",1524
"NODE_3597_length_3452_cov_3.276715||full_5-(3282..3449)-K06400-spoIVCA; site-specific DNA recombinase",168
"NODE_871_length_7605_cov_9.053245||full_4-(2199..4088)-K06400-spoIVCA; site-specific DNA recombinase",1890
"NODE_3196_length_3710_cov_3.763885||full_1-(1..1953)-K06400-spoIVCA; site-specific DNA recombinase",1953
"NODE_3771_length_3352_cov_6.453443||full_6-(1651..2496)-K04763-xerD; integrase/recombinase XerD",846
"NODE_841_length_7766_cov_6.980677||full_1 1-7386/7591_7-(5776..7386)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_3759_length_3358_cov_4.354223||full_3-(1306..2244)-K14059-int; integrase",939
"NODE_3223_length_3689_cov_11.687947||full_1-(1..882)-K14059-int; integrase",882
"NODE_756_length_8193_cov_4.759769||full_13-(6424..7782)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1359
"NODE_966_length_7269_cov_6.032853||full_1 1516-7269/7269_1-(3..1349)-K06400-spoIVCA; site-specific DNA recombinase",1347
"NODE_5547_length_2653_cov_5.123941||full_3-(894..2222)-K06400-spoIVCA; site-specific DNA recombinase",1329
"NODE_5547_length_2653_cov_5.123941||full_4-(2242..2652)-K06400-spoIVCA; site-specific DNA recombinase",411
"NODE_13830_length_1460_cov_3.211388||full_1-(1..417)-K14059-int; integrase",417
"NODE_10260_length_1797_cov_4.964409||full_1-(1..258)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",258
"NODE_2322_length_4478_cov_5.226995||full_3-(516..1751)-K14059-int; integrase",1236
"NODE_2095_length_4721_cov_7.115517||full_5-(1950..3302)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1353
"NODE_3284_length_3652_cov_4.884348||full_5-(2147..3649)-K06400-spoIVCA; site-specific DNA recombinase",1503
"NODE_8869_length_1978_cov_3.581903||full_4-(1556..1975)-K06400-spoIVCA; site-specific DNA recombinase",420
"NODE_2627_length_4184_cov_3.989101||full_6-(1948..3606)-K06400-spoIVCA; site-specific DNA recombinase",1659
"NODE_2627_length_4184_cov_3.989101||full_7-(3607..4182)-K06400-spoIVCA; site-specific DNA recombinase",576
"NODE_2944_length_3899_cov_3.586368||full_1-(1..1170)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1170
"NODE_16035_length_1321_cov_3.454976||full_2-(225..695)-PF09588.10-YqaJ-like viral recombinase domain",471
"NODE_49_length_26570_cov_5.747388||full_1-(1..984)-K04763-xerD; integrase/recombinase XerD",984
"NODE_8850_length_1979_cov_6.666320||full_3-(971..1876)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",906
"NODE_443_length_11049_cov_7.220302||full_6-(4499..5146)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",648
"NODE_240_length_14959_cov_6.123725||full_4-(1427..3262)-K06400-spoIVCA; site-specific DNA recombinase",1836
"NODE_3874_length_3298_cov_4.491829||full_3-(1000..2973)-K06400-spoIVCA; site-specific DNA recombinase",1974
"NODE_7870_length_2137_cov_2.636888||full_5-(997..2136)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1140
"NODE_504_length_10387_cov_8.461479||full_5-(8781..10304)-K06400-spoIVCA; site-specific DNA recombinase",1524
"NODE_8137_length_2094_cov_3.803335||full_4-(1383..2090)-K07493-K07493; putative transposase",708
"NODE_277_length_14044_cov_7.594324||full_9-(6523..7113)-K21528-gin; serine recombinase [EC:3.1.22.- 6.5.1.-]",591
"NODE_6387_length_2427_cov_5.503794||full_4-(1100..2200)-K07496-K07496; putative transposase",1101
"NODE_3_length_58204_cov_138.540852||full_30-(15733..16860)-K04763-xerD; integrase/recombinase XerD",1128
"NODE_3_length_58204_cov_138.540852||full_32-(17428..18261)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",834
"NODE_3472_length_3528_cov_4.826087||full_7-(2207..3403)-K14059-int; integrase",1197
"NODE_1534_length_2841_cov_3.823044||full_5-(1878..2837)-K14059-int; integrase",960
"NODE_235_length_6953_cov_5.587562||full_6-(3647..5659)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2013
"NODE_4368_length_1691_cov_2.464548||full_1-(1..597)-K06400-spoIVCA; site-specific DNA recombinase",597
"NODE_1629_length_2764_cov_4.031377||full_3-(1364..2398)-K07482-K07482; transposase, IS30 family",1035
"NODE_3342_length_1936_cov_1.999468||full_2-(357..749)-K03733-xerC; integrase/recombinase XerC",393
"NODE_650_length_4258_cov_3.586010||full_1-(1..1431)-K06400-spoIVCA; site-specific DNA recombinase",1431
"NODE_2367_length_2303_cov_3.620996||full_2-(131..814)-PF01609.21-Transposase DDE domain",684
"NODE_812_length_3832_cov_4.135557||full_3-(328..1767)-K06400-spoIVCA; site-specific DNA recombinase",1440
"NODE_6040_length_1420_cov_3.272527||full_1-(1..564)-K07482-K07482; transposase, IS30 family",564
"NODE_3470_length_4287_cov_7.625000||full_2-(1281..2105)-PF12784.7-PD-(D/E)XK nuclease family transposase",825
"NODE_228_length_20197_cov_18.916195||full_25-(18531..19625)-K04763-xerD; integrase/recombinase XerD",1095
"NODE_2084_length_5921_cov_60.285032||full_3-(1245..2804)-K06400-spoIVCA; site-specific DNA recombinase",1560
"NODE_2084_length_5921_cov_60.285032||full_4-(2797..4500)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_2084_length_5921_cov_60.285032||full_5-(4502..5917)-K06400-spoIVCA; site-specific DNA recombinase",1416
"NODE_6879_length_2712_cov_8.984945||full_3-(849..1730)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",882
"NODE_3507_length_4260_cov_126.733175||full_1-(1..1290)-K14059-int; integrase",1290
"NODE_1253_length_8117_cov_6.363185||full_4-(5168..5812)-K04763-xerD; integrase/recombinase XerD",645
"NODE_3312_length_4426_cov_4.418211||full_1 1164-4147/4147_6-(1920..2984)-K07482-K07482; transposase, IS30 family",1065
"NODE_1654_length_6838_cov_4.719888||full_13-(5646..6833)-K07496-K07496; putative transposase",1188
"NODE_1229_length_8194_cov_34.534832||full_3-(750..2309)-K06400-spoIVCA; site-specific DNA recombinase",1560
"NODE_1229_length_8194_cov_34.534832||full_4-(2302..4002)-K06400-spoIVCA; site-specific DNA recombinase",1701
"NODE_1229_length_8194_cov_34.534832||full_5-(4004..5704)-K06400-spoIVCA; site-specific DNA recombinase",1701
"NODE_4967_length_3397_cov_58.561341||full_3-(1243..2379)-K14059-int; integrase",1137
"NODE_4967_length_3397_cov_58.561341||full_4-(2351..2476)-PF02920.15-DNA binding domain of tn916 integrase",126
"NODE_2298_length_5565_cov_11.038294||full_2-(1135..2157)-K04763-xerD; integrase/recombinase XerD",1023
"NODE_935_length_9703_cov_11.956364||full_2-(1300..2520)-K03733-xerC; integrase/recombinase XerC",1221
"NODE_7791_length_2493_cov_4.816653||full_1-(1..306)-K06400-spoIVCA; site-specific DNA recombinase",306
"NODE_6923_length_2698_cov_3.886114||full_2-(504..1013)-K06400-spoIVCA; site-specific DNA recombinase",510
"NODE_6923_length_2698_cov_3.886114||full_4-(1343..2695)-K06400-spoIVCA; site-specific DNA recombinase",1353
"NODE_22831_length_1171_cov_6.038530||full_1-(1..435)-K03733-xerC; integrase/recombinase XerC",435
"NODE_2976_length_4720_cov_6.511468||full_6-(2907..4178)-K14059-int; integrase",1272
"NODE_8778_length_2285_cov_9.812108||full_1-(1..270)-K06400-spoIVCA; site-specific DNA recombinase",270
"NODE_8778_length_2285_cov_9.812108||full_4-(1308..2159)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",852
"NODE_2032_length_6022_cov_5.307022||full_6-(3596..4822)-K04763-xerD; integrase/recombinase XerD",1227
"NODE_606_length_12681_cov_4.984635||full_17-(8073..9224)-K07496-K07496; putative transposase",1152
"NODE_2388_length_5430_cov_6.334698||full_1-(1..1065)-K06400-spoIVCA; site-specific DNA recombinase",1065
"NODE_2388_length_5430_cov_6.334698||full_2-(1070..2761)-K06400-spoIVCA; site-specific DNA recombinase",1692
"NODE_2388_length_5430_cov_6.334698||full_3-(2758..4395)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_2297_length_5565_cov_52.022505||full_1-(1..888)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",888
"NODE_1515_length_7148_cov_17.351191||full_1-(1..1491)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_7057_length_2660_cov_4.764299||full_4-(1558..2535)-K04763-xerD; integrase/recombinase XerD",978
"NODE_27_length_41401_cov_10.094205||full_1 7794-41260/41260_45-(32598..33467)-K03733-xerC; integrase/recombinase XerC",870
"NODE_10417_length_2033_cov_3.168352||full_3-(677..1924)-K07496-K07496; putative transposase",1248
"NODE_1625_length_6913_cov_5.567512||full_1-(1..837)-K06400-spoIVCA; site-specific DNA recombinase",837
"NODE_1245_length_8150_cov_6.382582||full_1-(1..1443)-K06400-spoIVCA; site-specific DNA recombinase",1443
"NODE_1245_length_8150_cov_6.382582||full_2-(1430..3115)-K06400-spoIVCA; site-specific DNA recombinase",1686
"NODE_1245_length_8150_cov_6.382582||full_3-(3117..4796)-K06400-spoIVCA; site-specific DNA recombinase",1680
"NODE_4778_length_3483_cov_2.841599||full_5-(1348..3414)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2067
"NODE_380_length_16189_cov_6.178691||full_15-(7719..8906)-K07496-K07496; putative transposase",1188
"NODE_6227_length_2908_cov_9.509639||full_2-(1175..1507)-K07483-K07483; transposase",333
"NODE_6227_length_2908_cov_9.509639||full_3-(1504..2415)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",912
"NODE_6227_length_2908_cov_9.509639||full_4-(2442..2639)-PF13333.6-Integrase core domain",198
"NODE_676_length_11869_cov_5.191298||full_10-(9150..10361)-K07496-K07496; putative transposase",1212
"NODE_294_length_18108_cov_6.706365||full_23-(16462..18045)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_876_length_10055_cov_4.989100||full_16-(9059..10033)-K06400-spoIVCA; site-specific DNA recombinase",975
"NODE_11159_length_1940_cov_7.283289||full_1-(1..960)-K06400-spoIVCA; site-specific DNA recombinase",960
"NODE_11159_length_1940_cov_7.283289||full_2-(966..1586)-K06400-spoIVCA; site-specific DNA recombinase",621
"NODE_125_length_25028_cov_6.942978||full_23-(18671..19570)-K06400-spoIVCA; site-specific DNA recombinase",900
"NODE_854_length_10300_cov_7.079258||full_9-(4849..6420)-K06400-spoIVCA; site-specific DNA recombinase",1572
"NODE_854_length_10300_cov_7.079258||full_10-(6575..7729)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1155
"NODE_1185_length_7543_cov_6.973958||full_2-(490..2199)-K06400-spoIVCA; site-specific DNA recombinase",1710
"NODE_1185_length_7543_cov_6.973958||full_3-(2201..3949)-K06400-spoIVCA; site-specific DNA recombinase",1749
"NODE_1185_length_7543_cov_6.973958||full_5-(4200..5771)-K06400-spoIVCA; site-specific DNA recombinase",1572
"NODE_1853_length_5725_cov_5.389242||full_1-(1..1467)-K06400-spoIVCA; site-specific DNA recombinase",1467
"NODE_1853_length_5725_cov_5.389242||full_2-(1443..3041)-K06400-spoIVCA; site-specific DNA recombinase",1599
"NODE_1397_length_6850_cov_6.535835||full_5-(5505..6659)-K03733-xerC; integrase/recombinase XerC",1155
"NODE_251_length_17880_cov_6.506704||full_3-(3331..4371)-K07482-K07482; transposase, IS30 family",1041
"NODE_1436_length_6749_cov_6.716463||full_4-(906..2594)-K06400-spoIVCA; site-specific DNA recombinase",1689
"NODE_1436_length_6749_cov_6.716463||full_5-(2596..4293)-K06400-spoIVCA; site-specific DNA recombinase",1698
"NODE_1436_length_6749_cov_6.716463||full_6-(4283..5878)-K06400-spoIVCA; site-specific DNA recombinase",1596
"NODE_7541_length_2118_cov_2.466311||full_4-(1231..1797)-K21528-gin; serine recombinase [EC:3.1.22.- 6.5.1.-]",567
"NODE_2780_length_4337_cov_4.585708||full_7-(3097..4125)-K07482-K07482; transposase, IS30 family",1029
"NODE_852_length_9315_cov_11.074406||full_1-(1..672)-K07492-K07492; putative transposase",672
"NODE_1553_length_6423_cov_4.907820||full_6-(5541..6368)-K03733-xerC; integrase/recombinase XerC",828
"NODE_5162_length_2797_cov_5.287746||full_1-(1..840)-K14059-int; integrase",840
"NODE_3896_length_3412_cov_5.343759||full_1-(1..942)-K07482-K07482; transposase, IS30 family",942
"NODE_9707_length_1787_cov_2.701501||full_1-(1..600)-K07482-K07482; transposase, IS30 family",600
"NODE_7880_length_2052_cov_3.085128||full_4-(1552..1980)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",429
"NODE_1183_length_7545_cov_44.226302||full_3-(931..2943)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2013
"NODE_25_length_36722_cov_14.190853||full_7-(5026..7020)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1995
"NODE_2388_length_4844_cov_6.532261||full_3-(858..1787)-PF12762.7-ISXO2-like transposase domain",930
"NODE_6089_length_2459_cov_3.536190||full_4-(1104..2042)-PF13612.6-Transposase DDE domain",939
"NODE_824_length_9471_cov_6.267842||full_11-(5763..6638)-K04763-xerD; integrase/recombinase XerD",876
"NODE_1504_length_6552_cov_6.493612||full_12-(4972..5676)-VOG17298-sp|P0CE62|INH15_ECOLI Transposase InsH for insertion sequence element IS5-15",705
"NODE_1504_length_6552_cov_6.493612||full_13-(5624..5971)-VOG17298-sp|P0CE62|INH15_ECOLI Transposase InsH for insertion sequence element IS5-15",348
"NODE_5686_length_2594_cov_2.969673||full_4-(2272..2592)-K03733-xerC; integrase/recombinase XerC",321
"NODE_83_length_25916_cov_11.558138||full_1-(1..1020)-K03733-xerC; integrase/recombinase XerC",1020
"NODE_7229_length_1774_cov_3.741710||full_4-(977..1774)-K14059-int; integrase",798
"NODE_3439_length_2910_cov_5.005954||full_4-(1516..2535)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_4705_length_2375_cov_6.011638||full_3-(758..1798)-K07482-K07482; transposase, IS30 family",1041
"NODE_7724_length_1692_cov_3.747098||full_1-(1..381)-K06400-spoIVCA; site-specific DNA recombinase",381
"NODE_5064_length_2256_cov_3.835075||full_2-(267..1358)-K07482-K07482; transposase, IS30 family",1092
"NODE_2504_length_3576_cov_5.805169||full_4-(2068..3558)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_2122_length_4020_cov_5.481967||full_3-(1987..2811)-K04763-xerD; integrase/recombinase XerD",825
"NODE_12465_length_1214_cov_3.385677||full_4-(789..1211)-K04763-xerD; integrase/recombinase XerD",423
"NODE_208_length_16999_cov_85.794677||full_6-(5607..6434)-K03733-xerC; integrase/recombinase XerC",828
"NODE_1514_length_4966_cov_3.284056||full_7-(2519..3163)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",645
"NODE_1820_length_4458_cov_4.519191||full_9-(3287..4456)-K06400-spoIVCA; site-specific DNA recombinase",1170
"NODE_221_length_16249_cov_13.469433||full_1-(1..198)-K07482-K07482; transposase, IS30 family",198
"NODE_3646_length_2799_cov_3.367347||full_1-(1..972)-K14059-int; integrase",972
"NODE_9159_length_1507_cov_3.396006||full_1-(1..795)-K14059-int; integrase",795
"NODE_1983_length_4212_cov_2.992543||full_1-(1..792)-K06400-spoIVCA; site-specific DNA recombinase",792
"NODE_190_length_17665_cov_6.162862||full_34-(17134..17598)-K07492-K07492; putative transposase",465
"NODE_833_length_7096_cov_14.912228||full_1-(1..1035)-K03733-xerC; integrase/recombinase XerC",1035
"NODE_1004_length_6412_cov_8.266321||full_1-(1..1035)-K04763-xerD; integrase/recombinase XerD",1035
"NODE_2075_length_4085_cov_3.812903||full_8-(3730..4083)-PF12762.7-ISXO2-like transposase domain",354
"NODE_36_length_38517_cov_22.449015||full_22-(20028..21251)-K14059-int; integrase",1224
"NODE_4627_length_2400_cov_6.837527||full_1-(1..234)-PF07282.11-Putative transposase DNA-binding domain",234
"NODE_5965_length_4194_cov_9.347910||full_4-(2680..3234)-K14059-int; integrase",555
"NODE_556_length_16244_cov_134.087529||full_1-(1..963)-K07482-K07482; transposase, IS30 family",963
"NODE_7984_length_3438_cov_4.249187||full_3-(935..2542)-K06400-spoIVCA; site-specific DNA recombinase",1608
"NODE_3163_length_6323_cov_19.059030||full_3-(465..1340)-K04763-xerD; integrase/recombinase XerD",876
"NODE_5663_length_4350_cov_3.333178||full_4-(2000..3781)-K06400-spoIVCA; site-specific DNA recombinase",1782
"NODE_451_length_18000_cov_5.649373||full_8-(2051..3424)-K06400-spoIVCA; site-specific DNA recombinase",1374
"NODE_901_length_12967_cov_27.243959||full_16-(8501..10627)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2127
