"KEGG.Entry","Metabolism","Pathway","Total.AMGs","Present.AMG.KOs","Sample_id"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",3,"K01939,K01953","L1EHE1100153"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K15633","L1EHE1100153"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",16,"K00558,K00789,K17398","L1EHE1100153"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EHE1100153"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K06041","L1EHE1100153"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",4,"K04487","L1EHE1100153"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",4,"K01916,K03462,K08281","L1EHE1100153"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",2,"K01491","L1EHE1100153"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K22227","L1EHE1100153"
"map00130","Metabolism of cofactors and vitamins","Ubiquinone and other terpenoid-quinone biosynthesis",1,"K00568","L1EHE1100153"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K04487","L1EHE1100153"
"map00920","Energy metabolism","Sulfur metabolism",3,"K00390","L1EHE1100154"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100154"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",8,"K00558,K00789,K20021","L1EHE1100154"
"map00360","Amino acid metabolism","Phenylalanine metabolism",1,"K01912","L1EHE1100154"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EHE1100154"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis",1,"K01000","L1EHE1100154"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EHE1100154"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",4,"K01737,K03639,K09457,K10026","L1EHE1100154"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K04487,K21029","L1EHE1100154"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EHE1100155"
"map00920","Energy metabolism","Sulfur metabolism",3,"K00390","L1EHE1100155"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01939","L1EHE1100155"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01939,K01953","L1EHE1100155"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",18,"K00558,K00789,K12960,K17398","L1EHE1100155"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EHE1100155"
"map00472","Metabolism of other amino acids","D-Arginine and D-ornithine metabolism",1,"K21898","L1EHE1100155"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",3,"K04487","L1EHE1100155"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K00952,K13522","L1EHE1100155"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1EHE1100155"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EHE1100155"
"map00999","Biosynthesis of other secondary metabolites","Biosynthesis of secondary metabolites - unclassified",1,"K21898","L1EHE1100155"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K04487","L1EHE1100155"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K00927","L1EHE1100156"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1EHE1100156"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K01232","L1EHE1100156"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K01784,K12373","L1EHE1100156"
"map00710","Energy metabolism","Carbon fixation in photosynthetic organisms",1,"K00927","L1EHE1100156"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EHE1100156"
"map00920","Energy metabolism","Sulfur metabolism",16,"K00390,K00640","L1EHE1100156"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100156"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",22,"K00558,K00640,K00789","L1EHE1100156"
"map00220","Amino acid metabolism","Arginine biosynthesis",1,"K00145","L1EHE1100156"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EHE1100156"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EHE1100156"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EHE1100156"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EHE1100156"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EHE1100156"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EHE1100156"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EHE1100156"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",3,"K03639,K06920,K09457","L1EHE1100156"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EHE1100156"
"map00130","Metabolism of cofactors and vitamins","Ubiquinone and other terpenoid-quinone biosynthesis",1,"K00568","L1EHE1100156"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K03639,K04487","L1EHE1100156"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EHE1100157"
"map00920","Energy metabolism","Sulfur metabolism",3,"K00390,K00640","L1EHE1100157"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100157"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",2,"K00558,K00640","L1EHE1100157"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EHE1100157"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",3,"K01491","L1EHE1100158"
"map00920","Energy metabolism","Sulfur metabolism",5,"K00390","L1EHE1100158"
"map00061","Lipid metabolism","Fatty acid biosynthesis",1,"K00059","L1EHE1100158"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",12,"K00558,K00789,K17398","L1EHE1100158"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",4,"K06167","L1EHE1100158"
"map00473","Metabolism of other amino acids","D-Alanine metabolism",1,"K01775","L1EHE1100158"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EHE1100158"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism",1,"K14654","L1EHE1100158"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",4,"K00952,K01916,K03462,K08281","L1EHE1100158"
"map00780","Metabolism of cofactors and vitamins","Biotin metabolism",1,"K00059","L1EHE1100158"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1EHE1100158"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",3,"K01491","L1EHE1100158"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",1,"K01710","L1EHE1100158"
"map01055","Metabolism of terpenoids and polyketides","Biosynthesis of vancomycin group antibiotics",1,"K01710","L1EHE1100158"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",1,"K01710","L1EHE1100158"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",1,"K01710","L1EHE1100158"
"map00333","Biosynthesis of other secondary metabolites","Prodigiosin biosynthesis",1,"K00059","L1EHE1100158"
"map04122","Folding, sorting and degradation","Sulfur relay system",6,"K03639,K04487,K21029,K21140","L1EHE1100158"
"map00920","Energy metabolism","Sulfur metabolism",1,"K00390","L1EHE1100159"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",3,"K00558","L1EHE1100159"
"map00310","Amino acid metabolism","Lysine degradation",1,"K01506","L1EHE1100159"
"map00030","Carbohydrate metabolism","Pentose phosphate pathway",1,"K00615","L1EHE1100160"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",2,"K01711","L1EHE1100160"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1EHE1100160"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",3,"K01711,K01784","L1EHE1100160"
"map00710","Energy metabolism","Carbon fixation in photosynthetic organisms",1,"K00615","L1EHE1100160"
"map00920","Energy metabolism","Sulfur metabolism",5,"K00390","L1EHE1100160"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EHE1100160"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",20,"K00558,K00789,K17398","L1EHE1100160"
"map00310","Amino acid metabolism","Lysine degradation",1,"K14157","L1EHE1100160"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EHE1100160"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1EHE1100160"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K00952","L1EHE1100160"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",3,"K03639","L1EHE1100160"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K09882","L1EHE1100160"
"map01051","Metabolism of terpenoids and polyketides","Biosynthesis of ansamycins",1,"K00615","L1EHE1100160"
"map00998","Biosynthesis of other secondary metabolites","Biosynthesis of secondary metabolites - other antibiotics",1,"K02078","L1EHE1100160"
"map00362","Xenobiotics biodegradation and metabolism","Benzoate degradation",1,"K01055","L1EHE1100160"
"map04122","Folding, sorting and degradation","Sulfur relay system",5,"K03639,K21029","L1EHE1100160"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1HGH010557"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K01784","L1HGH010557"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1HGH010557"
"map00920","Energy metabolism","Sulfur metabolism",8,"K00390","L1HGH010557"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01939","L1HGH010557"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01939,K01953","L1HGH010557"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",16,"K00558,K00789,K05396,K17398","L1HGH010557"
"map00310","Amino acid metabolism","Lysine degradation",1,"K14157","L1HGH010557"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1HGH010557"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1HGH010557"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",3,"K00952,K01916,K03462","L1HGH010557"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",8,"K01495,K01737,K03639,K06920,K10026","L1HGH010557"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1HGH010557"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K21029","L1HGH010557"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1HGH010558"
"map00920","Energy metabolism","Sulfur metabolism",17,"K00390","L1HGH010558"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1HGH010558"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",15,"K00558,K00789,K12960,K17398","L1HGH010558"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1HGH010558"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",3,"K03462,K06211,K08281","L1HGH010558"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",4,"K01737,K03639,K09457,K10026","L1HGH010558"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1HGH010558"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K03639,K21029","L1HGH010558"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",2,"K00850,K03737","L1HGH010559"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K03737","L1HGH010559"
"map00030","Carbohydrate metabolism","Pentose phosphate pathway",1,"K00850","L1HGH010559"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",3,"K00847,K00850,K01711","L1HGH010559"
"map00052","Carbohydrate metabolism","Galactose metabolism",2,"K00850,K01784","L1HGH010559"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K00847","L1HGH010559"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",4,"K00847,K01711,K01784,K12452","L1HGH010559"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K03737","L1HGH010559"
"map00640","Carbohydrate metabolism","Propanoate metabolism",1,"K18369","L1HGH010559"
"map00650","Carbohydrate metabolism","Butanoate metabolism",1,"K03737","L1HGH010559"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",4,"K01491,K03737","L1HGH010559"
"map00680","Energy metabolism","Methane metabolism",1,"K00850","L1HGH010559"
"map00920","Energy metabolism","Sulfur metabolism",15,"K00390","L1HGH010559"
"map00061","Lipid metabolism","Fatty acid biosynthesis",1,"K01897","L1HGH010559"
"map00071","Lipid metabolism","Fatty acid degradation",1,"K01897","L1HGH010559"
"map00230","Nucleotide metabolism","Purine metabolism",2,"K01939,K01951","L1HGH010559"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01939,K01953","L1HGH010559"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",39,"K00558,K00789,K05396,K17398","L1HGH010559"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",7,"K06167","L1HGH010559"
"map00471","Metabolism of other amino acids","D-Glutamine and D-glutamate metabolism",1,"K01924","L1HGH010559"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1HGH010559"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis",1,"K01924","L1HGH010559"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",3,"K04487","L1HGH010559"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",7,"K00952,K01916,K03462,K08281","L1HGH010559"
"map00770","Metabolism of cofactors and vitamins","Pantothenate and CoA biosynthesis",2,"K03525,K13038","L1HGH010559"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",6,"K01737,K03639,K06920,K09457,K10026","L1HGH010559"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",3,"K01491","L1HGH010559"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",4,"K09882,K22227","L1HGH010559"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",2,"K00973,K01790","L1HGH010559"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",2,"K00973,K01790","L1HGH010559"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",1,"K00973","L1HGH010559"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1HGH010559"
"map04122","Folding, sorting and degradation","Sulfur relay system",9,"K03639,K04487,K21029","L1HGH010559"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1HGH010560"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K01784","L1HGH010560"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1HGH010560"
"map00920","Energy metabolism","Sulfur metabolism",3,"K00390","L1HGH010560"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1HGH010560"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",3,"K00558,K00789,K17398","L1HGH010560"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1HGH010560"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1HGH010560"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1HGH010560"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",3,"K01916,K03462,K08281","L1HGH010560"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",7,"K01737,K03639,K06920,K09457,K10026","L1HGH010560"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1HGH010560"
"map04122","Folding, sorting and degradation","Sulfur relay system",3,"K03639,K04487,K21029","L1HGH010560"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K03737","L1HGH010561"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K03737","L1HGH010561"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K01195","L1HGH010561"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",2,"K00847,K01628","L1HGH010561"
"map00052","Carbohydrate metabolism","Galactose metabolism",2,"K01182,K01193","L1HGH010561"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",3,"K00847,K01182,K01193","L1HGH010561"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K00847,K02474","L1HGH010561"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K03737","L1HGH010561"
"map00650","Carbohydrate metabolism","Butanoate metabolism",2,"K01652,K03737","L1HGH010561"
"map00660","Carbohydrate metabolism","C5-Branched dibasic acid metabolism",1,"K01652","L1HGH010561"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",2,"K01491,K03737","L1HGH010561"
"map00920","Energy metabolism","Sulfur metabolism",27,"K00390","L1HGH010561"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01951","L1HGH010561"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1HGH010561"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",47,"K00548,K00558,K00789,K01243,K05396,K17398","L1HGH010561"
"map00290","Amino acid metabolism","Valine, leucine and isoleucine biosynthesis",1,"K01652","L1HGH010561"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1HGH010561"
"map00450","Metabolism of other amino acids","Selenocompound metabolism",1,"K00548","L1HGH010561"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K01195","L1HGH010561"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis",1,"K01000","L1HGH010561"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",3,"K00952,K03462,K13522","L1HGH010561"
"map00770","Metabolism of cofactors and vitamins","Pantothenate and CoA biosynthesis",2,"K00859,K01652","L1HGH010561"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",6,"K01495,K01737,K03639,K06920,K10026","L1HGH010561"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",2,"K00548,K01491","L1HGH010561"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",4,"K01195,K09882,K22227","L1HGH010561"
"map00944","Biosynthesis of other secondary metabolites","Flavone and flavonol biosynthesis",1,"K01195","L1HGH010561"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",2,"K01195,K01951","L1HGH010561"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K21029","L1HGH010561"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1HGH010562"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K01784","L1HGH010562"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1HGH010562"
"map00920","Energy metabolism","Sulfur metabolism",9,"K00390","L1HGH010562"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",14,"K00558,K00789,K17398","L1HGH010562"
"map00340","Amino acid metabolism","Histidine metabolism",1,"K00013","L1HGH010562"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1HGH010562"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1HGH010562"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1HGH010562"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",3,"K01916,K03462,K08281","L1HGH010562"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1HGH010562"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1HGH010562"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K09882","L1HGH010562"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K03639,K04487","L1HGH010562"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",1,"K00847","L1HGH010563"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1HGH010563"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K00847","L1HGH010563"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K00847,K01784","L1HGH010563"
"map00630","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism",1,"K03780","L1HGH010563"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1HGH010563"
"map00920","Energy metabolism","Sulfur metabolism",8,"K00390","L1HGH010563"
"map00230","Nucleotide metabolism","Purine metabolism",2,"K00764,K01923","L1HGH010563"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K00764","L1HGH010563"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",7,"K00558,K17398","L1HGH010563"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1HGH010563"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K08281","L1HGH010563"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1HGH010563"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",1,"K00973","L1HGH010563"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",1,"K00973","L1HGH010563"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",1,"K00973","L1HGH010563"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K15633","L1HGH010564"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1HGH010564"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K01784,K13018","L1HGH010564"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1HGH010564"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1HGH010564"
"map00920","Energy metabolism","Sulfur metabolism",9,"K00390","L1HGH010564"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01951","L1HGH010564"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K15633","L1HGH010564"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",18,"K00558,K05396,K17398","L1HGH010564"
"map00360","Amino acid metabolism","Phenylalanine metabolism",1,"K05714","L1HGH010564"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1HGH010564"
"map00510","Glycan biosynthesis and metabolism","N-Glycan biosynthesis",1,"K00737","L1HGH010564"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",4,"K04487","L1HGH010564"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",4,"K01916,K03462,K08281","L1HGH010564"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",3,"K03639,K06920","L1HGH010564"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1HGH010564"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K09882","L1HGH010564"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1HGH010564"
"map04122","Folding, sorting and degradation","Sulfur relay system",5,"K03639,K04487","L1HGH010564"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K03737","L1HGH010565"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K03737","L1HGH010565"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",1,"K01840","L1HGH010565"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1HGH010565"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K01208","L1HGH010565"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K01784,K01840","L1HGH010565"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K03737","L1HGH010565"
"map00650","Carbohydrate metabolism","Butanoate metabolism",1,"K03737","L1HGH010565"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",3,"K01491,K03737","L1HGH010565"
"map00910","Energy metabolism","Nitrogen metabolism",1,"K00262","L1HGH010565"
"map00920","Energy metabolism","Sulfur metabolism",19,"K00390","L1HGH010565"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01951","L1HGH010565"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",3,"K00262,K01755,K01953","L1HGH010565"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",25,"K00558,K00789,K05396,K17398","L1HGH010565"
"map00220","Amino acid metabolism","Arginine biosynthesis",2,"K00262,K01755","L1HGH010565"
"map00330","Amino acid metabolism","Arginine and proline metabolism",2,"K00657,K00931","L1HGH010565"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",4,"K06167","L1HGH010565"
"map00450","Metabolism of other amino acids","Selenocompound metabolism",1,"K11717","L1HGH010565"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1HGH010565"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",4,"K04487","L1HGH010565"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism",1,"K20861","L1HGH010565"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",3,"K01916,K03462,K08281","L1HGH010565"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",3,"K03639,K06920","L1HGH010565"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",2,"K01491","L1HGH010565"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K22227","L1HGH010565"
"map00332","Biosynthesis of other secondary metabolites","Carbapenem biosynthesis",1,"K00931","L1HGH010565"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1HGH010565"
"map04122","Folding, sorting and degradation","Sulfur relay system",9,"K03639,K04487,K21029,K21140","L1HGH010565"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K01785","L1HGH010566"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01785","L1HGH010566"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K00820","L1HGH010566"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1HGH010566"
"map00920","Energy metabolism","Sulfur metabolism",18,"K00390","L1HGH010566"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01923","L1HGH010566"
